# 바샤커피 메뉴 관리 파일
# 형식: 카테고리|이름|설명|가격|이미지파일명|태그(옵션)
# 주석은 #으로 시작

# === Housemade Pastries ===
Housemade Pastries|라즈베리 바닐라 앙트르메|라즈베리와 바닐라의 조화로운 프렌치 디저트|12000|housemade-pastries/바샤청담_라즈베리바닐라앙트르메.jpg|라즈베리,바닐라,프렌치
Housemade Pastries|레몬 타르트|상큼한 레몬과 바삭한 타르트의 조합|9800|housemade-pastries/바샤청담_레몬타르트.jpg|레몬,타르트
Housemade Pastries|밀푀유|바삭한 퍼프 페이스트리 층층이 쌓인 클래식 디저트|11500|housemade-pastries/바샤청담_밀푀유.jpg|밀푀유,퍼프페이스트리
Housemade Pastries|블랙펄 커피 오페라|진한 커피 맛이 일품인 오페라 케이크|13800|housemade-pastries/바샤청담_블랙펄커피오페라.jpg|커피,오페라케이크
Housemade Pastries|자허토르테|오스트리아 전통 초콜릿 케이크|12500|housemade-pastries/바샤청담_자허토르테.jpg|초콜릿,자허토르테
Housemade Pastries|키비라 레인 앙트르메|키비라 커피와 레인의 환상적인 조합|14000|housemade-pastries/바샤청담_키비라레인앙트르메.jpg|키비라,레인,앙트르메

# === Sandwich ===
Sandwich|바샤 클럽 샌드위치|바샤커피 시그니처 클럽 샌드위치|15000|sandwich/바샤청담_바샤클럽샌드위치.jpg|클럽샌드위치,시그니처
Sandwich|치킨 프렌치 토스트 샌드위치|부드러운 프렌치 토스트와 치킨의 조합|16500|sandwich/바샤청담_치킨프렌치토스트샌드위치.jpg|치킨,프렌치토스트
Sandwich|한우 채끝 프렌치 토스트 샌드위치|프리미엄 한우 채끝과 프렌치 토스트|28000|sandwich/바샤청담_한우채끝프렌치토스트샌드위치.jpg|한우,채끝,프렌치토스트,프리미엄

# === Ice Desserts ===
Ice Desserts|소르베 아이스크림|시원하고 상큼한 수제 소르베|10000|ice-desserts/바샤청담_소르베아이스크림.jpg|소르베,아이스크림

# === Farm Fresh Eggs ===
Farm Fresh Eggs|스크램블 에그와 블랙 트러플|블랙 트러플이 올라간 고급 스크램블 에그|32000|farm-fresh-eggs/바샤청담_스크램블에그와블랙트러플.jpg|스크램블에그,블랙트러플,프리미엄
Farm Fresh Eggs|에그 프라이와 홈메이드 비프 콩피|농장 직송 달걀과 정성스럽게 조리한 비프 콩피|28000|farm-fresh-eggs/바샤청담_에그프라이와홈메이드비프콩피.jpg|달걀,비프콩피,프리미엄
Farm Fresh Eggs|프랑스식 오믈렛|정통 프랑스 스타일의 부드러운 오믈렛|18000|farm-fresh-eggs/바샤청담_프랑스식오믈렛.jpg|오믈렛,프랑스식

# === Main ===
Main|모로칸 케프타 미트볼|모로코 전통 향신료로 만든 미트볼|22000|main/바샤청담_모로칸케프타미트볼.jpg|모로칸,미트볼,향신료
Main|자타르 크러스트 연어|중동 향신료 자타르로 구운 연어|26000|main/바샤청담_자타르크러스트연어.jpg|연어,자타르,크러스트
Main|전복 리조또|신선한 전복이 들어간 크리미한 리조또|28000|main/바샤청담_전복리조또.jpg|전복,리조또,프리미엄
Main|치킨 탈리아텔레|부드러운 치킨과 탈리아텔레 파스타|19500|main/바샤청담_치킨탈리아텔레.jpg|치킨,탈리아텔레,파스타
Main|한우 안심|최고급 한우 안심 스테이크|45000|main/바샤청담_한우안심.jpg|한우,안심,스테이크,프리미엄

# === Croissants and Cakes ===
Croissants and Cakes|라즈베리 시나몬 크루아상|라즈베리와 시나몬의 달콤한 조합|8500|croissants-and-cakes/바샤청담_라즈베리시나몬크루아상.jpg|크루아상,라즈베리,시나몬
Croissants and Cakes|레몬 케이크|상큼한 레몬 향이 가득한 케이크|9500|croissants-and-cakes/바샤청담_레몬케이크.jpg|케이크,레몬
Croissants and Cakes|마블 케이크|커피와 바닐라의 마블 패턴 케이크|9900|croissants-and-cakes/바샤청담_마블케이크.jpg|케이크,마블,커피
Croissants and Cakes|버터 크루아상|황금빛 버터가 가득한 정통 크루아상|5200|croissants-and-cakes/바샤청담_버터크루아상.jpg|크루아상,버터
Croissants and Cakes|브리오쉬 페이테|프랑스 전통 브리오쉬|7500|croissants-and-cakes/바샤청담_브리오쉬페이테.jpg|브리오쉬,프랑스
Croissants and Cakes|솔티드 캐러멜 크루아상|달콤짭짤한 솔티드 캐러멜 크루아상|8800|croissants-and-cakes/바샤청담_솔티드캐러멜크루아상.jpg|크루아상,솔티드캐러멜
Croissants and Cakes|아몬드 크루아상|고소한 아몬드가 듬뿍 들어간 크루아상|7800|croissants-and-cakes/바샤청담_아몬드크루아상.jpg|크루아상,아몬드
Croissants and Cakes|초코 크루아상|진한 초콜릿이 들어간 크루아상|7200|croissants-and-cakes/바샤청담_초코크루아상.jpg|크루아상,초콜릿
Croissants and Cakes|초콜릿 피스타치오 케이크|초콜릿과 피스타치오의 고급스러운 조합|14500|croissants-and-cakes/바샤청담_초콜렛피스타치오케이크.jpg|케이크,초콜릿,피스타치오
Croissants and Cakes|카페 라틴 초콜릿 키비라 레인 커피|진한 커피와 초콜릿의 환상적인 조합|12000|croissants-and-cakes/바샤청담_카페라틴초콜렛키비라레인커피.jpg|커피,초콜릿,키비라
Croissants and Cakes|크루아상 콩테 치즈|고급 콩테 치즈와 크루아상의 조합|12500|croissants-and-cakes/바샤청담_크루아상콩테치즈.jpg|크루아상,콩테치즈
Croissants and Cakes|크루아상 트러플 버섯|트러플 버섯이 들어간 고급 크루아상|15000|croissants-and-cakes/바샤청담_크루아상트러플버섯.jpg|크루아상,트러플,버섯,프리미엄
Croissants and Cakes|피스타치오 크루아상|고급 피스타치오가 들어간 크루아상|9200|croissants-and-cakes/바샤청담_피스타치오크루아상.jpg|크루아상,피스타치오

# === Salad ===
Salad|니스식 바샤 샐러드|참치와 올리브, 삶은 달걀이 들어간 프렌치 샐러드|24000|salad/바샤청담_니스식바샤샐러드.jpg|샐러드,니스식,참치,프렌치
